Product Type,No of Brands,No of SKUs,Gross Sales,Net Sales,Average SP,OSA %,% of Total,Opportunity Score,White Space Remark,Price Band to Launch In,Competing Brand 1,Competing Brand 2,Competing Brand 3
Spin Mop,8,17,50559400,30368210,908,53.6,4.21,70,Prime white space,₹1341–1705,Gala,Spotzero,Scotch brite
Water Bottle,41,159,97323357,50474774,571,55.6,8.1,70,Prime white space,₹129–653,Boldfit,Cello,Milton
Shaker / Sipper,7,13,20782694,6428157,345,59.0,1.73,58,Rented crown,₹191–283,Boldfit,Solara,Impetus
Induction Cooktop,5,14,12837740,8623637,2804,6.7,1.07,58,Rented crown,₹3815–4594,Prestige,Philips Home,DigiSmart
Broom,10,23,34141030,29430138,171,79.8,2.84,55,Rented crown,₹59–109,Gala,ratan brooms,Scotch brite
Wiper,5,12,18381172,16909147,274,79.9,1.53,54,Rented crown,₹219–289,Gala,Scotch brite,Kleeno
Gloves,2,7,10573962,4535825,309,60.6,0.88,53,Rented crown,₹119–181,Am Safe-X,Scotch brite,
Water/Shower Filter,2,9,13472490,8643176,1566,61.5,1.12,52,Rented crown,₹1357–1671,Water Science,RiverSoft,
Mop / Refill,6,15,19198500,14156740,701,67.5,1.6,50,Rented crown,₹160–388,Gala,U.P.C.,Am Safe-X
Cookware / Pan,15,59,44781828,26725321,1271,56.0,3.73,50,Prime white space,₹489–1089,Wonderchef,Prestige,Judge
Pressure Cooker,6,23,20985486,13367779,1668,53.4,1.75,50,Rented crown,₹1000–1295,Wonderchef,Prestige,Judge
Bucket,3,4,13929100,10950752,432,68.1,1.16,48,Rented crown,₹279–349,Nayasa,Cello,Pasabahce
Storage Container,21,67,43904763,27889996,531,64.5,3.65,48,Prime white space,₹867–1113,Nayasa,Cello,Cutting Edge
Wall Hook,8,19,30836959,9677329,222,78.2,2.57,47,Organic fortress,₹60–135,Creative Space,Homestrap,Zulaxy
Thermal/Insulated Flask,28,108,44151372,27250173,1087,53.5,3.67,47,Open & contested,₹1109–1540,Solara,Milton,Boldfit
Cloth Drying Stand,3,5,10558850,3861691,1960,57.9,0.88,47,Organic fortress,₹1791–2020,Limetro Steel,Bathla,Zulaxy
Kitchen Cloth / Apron,8,8,19315161,10967556,356,80.5,1.61,46,Organic fortress,₹67–313,Aravi,fullhouz,Kleeno
All-Purpose Cleaner,1,2,4183820,3821898,256,79.0,0.35,46,Rented crown,₹261–264,Wd40,,
Pad Lock,3,16,16888584,14589325,480,75.5,1.41,45,Rented crown,₹59–219,Link,Travel Blue,Hindson
Bath/Hand/Face Towel,24,96,40222691,26455881,627,66.8,3.35,44,Prime white space,₹69–487,Welspun,Boldfit,Am Safe-X
Dinner Set / Plate,47,146,49714455,27646927,910,66.1,4.14,44,Crowded shelf,₹1883–2775,Cello,Hazel,Larah
Cloth Clip / Peg,7,11,11794471,6724974,241,63.3,0.98,43,Prime white space,₹70–156,Wewel,Aravi,sophiya
Cloth Hanger,11,23,16485461,7718700,380,65.2,1.37,42,Prime white space,₹879–1062,Wewel,Homestrap,HangitNow
Toilet Brush,3,8,9422505,9069071,275,81.4,0.78,42,Rented crown,₹239–379,Gala,Scotch brite,KLAP
Gas Lighter,6,9,10267964,6447056,292,65.1,0.85,42,Organic fortress,₹89–191,Fackelmann,Wonderchef,Warmfinity
Lunch Box / Tiffin,20,61,28599670,17364214,822,53.3,2.38,41,Open & contested,₹299–635,Milton,Borosil,Cello
Shelf / Rack,9,12,8399252,3819586,645,47.9,0.7,40,Prime white space,₹248–688,Bulfyss,Homestrap,New Dawn
Dustbin,8,11,10875605,7838225,526,65.6,0.91,40,Rented crown,₹643–775,Nayasa,Cello,Aravi
